title,nb_avis,notes_moyennes,note_max,note_min,ecart-type,nb_commentaires
Requiem Chevalier Vampire,7,7.857142857142857,10.0,6.0,1.124858267715973,7
Kill the Unicorns,16,8.3125,10.0,6.0,1.0439558180306292,16
Dwars,6,7.666666666666667,10.0,5.0,1.699673171197595,6
K2 : Lhotse,2,7.5,8.0,7.0,0.5,2
Mr Jack London Extension,1,8.0,8.0,8.0,0.0,1
Architectes du Royaume de l'Ouest,71,8.0,10.0,4.0,1.5382448384761742,71
BD Défi,2,9.5,10.0,9.0,0.5,2
Detective,87,8.482758620689655,10.0,3.0,1.7077380951147478,87
Hanamikoji,34,8.294117647058824,10.0,6.0,0.9557692240748192,34
Rolling Bandits,7,7.428571428571429,9.0,6.0,0.9035079029052513,7
Scripta,5,7.4,10.0,5.0,2.0591260281974,5
Tokyo Highway (version européenne),29,7.344827586206897,10.0,0.0,1.9874756484123526,29
Tsukiji,5,6.2,8.0,5.0,1.469693845669907,5
Zombie Kidz Évolution,103,8.893203883495145,10.0,4.0,1.3286435257907567,103
Dice City VF,13,7.384615384615385,10.0,4.0,1.5461347109416754,13
Conseil de Guerre - Chapitre 1 : Tragédie du Choix,6,9.166666666666666,10.0,5.0,1.863389981249825,6
10 Minutes pour un Butin - La Tour du Magicien,6,6.5,9.0,5.0,1.5,6
Small Islands,45,8.244444444444444,10.0,1.0,1.9339717975141844,45
Discover - Terres Inconnues,19,6.052631578947368,10.0,0.0,3.2521035170053487,19
Lindisfarne,23,7.521739130434782,9.0,1.0,1.885172468580765,23
The Enigma Box,2,7.5,9.0,6.0,1.5,2
L'Île au Trésor,89,8.191011235955056,10.0,2.0,1.7473987376063773,89
Dice Settlers,17,7.470588235294118,10.0,6.0,1.0910139406465533,17
Orbis,64,6.859375,10.0,2.0,1.8946238701586655,64
Horizons,14,7.214285714285714,10.0,4.0,1.9338551958115549,14
Carpe Diem,30,7.9,10.0,2.0,1.619670748434179,30
Colt Express Bandits - Doc,1,6.0,6.0,6.0,0.0,1
Coimbra,69,8.681159420289855,10.0,6.0,1.08337574440758,69
Solenia,116,8.35344827586207,10.0,3.0,1.3973762997799417,116
Immortal 8,25,7.08,10.0,0.0,2.7845286854331377,25
